PayPeriodGenID,CompanyRuleID,StartDate,EndDate,TaxYear,CalendarYear,CalendarMonth,PayPeriodInTaxYear,PayPeriodsInMonth,PayPeriodNumberInMonth,PreviousPayPeriodGenID,NextPayPeriodGenID,CalendarDaysInPeriod,WorkDaysInPayPeriod,BusinessDaysInPayPeriod,PayPeriodsInTaxYear,WeeksInMonth
202,4,2018-03-01 00:00:00.000,2018-03-31 00:00:00.000,10,2018,3,1,1,1,230,203,31.00,22.00,20.00,12,4
203,4,2018-04-01 00:00:00.000,2018-04-30 00:00:00.000,10,2018,4,2,1,1,202,204,30.00,21.00,19.00,12,4
204,4,2018-05-01 00:00:00.000,2018-05-31 00:00:00.000,10,2018,5,3,1,1,203,205,31.00,23.00,22.00,12,4
205,4,2018-06-01 00:00:00.000,2018-06-30 00:00:00.000,10,2018,6,4,1,1,204,206,30.00,21.00,21.00,12,4
206,4,2018-07-01 00:00:00.000,2018-07-31 00:00:00.000,10,2018,7,5,1,1,205,207,31.00,22.00,22.00,12,4
207,4,2018-08-01 00:00:00.000,2018-08-31 00:00:00.000,10,2018,8,6,1,1,206,208,31.00,23.00,22.00,12,4
208,4,2018-09-01 00:00:00.000,2018-09-30 00:00:00.000,10,2018,9,7,1,1,207,209,30.00,20.00,19.00,12,4
209,4,2018-10-01 00:00:00.000,2018-10-31 00:00:00.000,10,2018,10,8,1,1,208,210,31.00,23.00,23.00,12,4
210,4,2018-11-01 00:00:00.000,2018-11-30 00:00:00.000,10,2018,11,9,1,1,209,211,30.00,22.00,22.00,12,4
211,4,2018-12-01 00:00:00.000,2018-12-31 00:00:00.000,10,2018,12,10,1,1,210,212,31.00,21.00,18.00,12,4
212,4,2019-01-01 00:00:00.000,2019-01-31 00:00:00.000,10,2019,1,11,1,1,211,213,31.00,23.00,22.00,12,4
213,4,2019-02-01 00:00:00.000,2019-02-28 00:00:00.000,10,2019,2,12,1,1,212,214,28.00,20.00,20.00,12,4
214,4,2019-03-01 00:00:00.000,2019-03-31 00:00:00.000,11,2019,3,1,1,1,213,215,31.00,21.00,20.00,12,4
215,4,2019-04-01 00:00:00.000,2019-04-30 00:00:00.000,11,2019,4,2,1,1,214,216,30.00,22.00,22.00,12,4
216,4,2019-05-01 00:00:00.000,2019-05-31 00:00:00.000,11,2019,5,3,1,1,215,217,31.00,23.00,21.00,12,4
217,4,2019-06-01 00:00:00.000,2019-06-30 00:00:00.000,11,2019,6,4,1,1,216,218,30.00,20.00,19.00,12,4
218,4,2019-07-01 00:00:00.000,2019-07-31 00:00:00.000,11,2019,7,5,1,1,217,219,31.00,23.00,23.00,12,4
219,4,2019-08-01 00:00:00.000,2019-08-31 00:00:00.000,11,2019,8,6,1,1,218,220,31.00,22.00,21.00,12,4
220,4,2019-09-01 00:00:00.000,2019-09-30 00:00:00.000,11,2019,9,7,1,1,219,221,30.00,21.00,20.00,12,4
221,4,2019-10-01 00:00:00.000,2019-10-31 00:00:00.000,11,2019,10,8,1,1,220,222,31.00,23.00,23.00,12,4
222,4,2019-11-01 00:00:00.000,2019-11-30 00:00:00.000,11,2019,11,9,1,1,221,223,30.00,21.00,21.00,12,4
223,4,2019-12-01 00:00:00.000,2019-12-31 00:00:00.000,11,2019,12,10,1,1,222,224,31.00,22.00,19.00,12,4
224,4,2020-01-01 00:00:00.000,2020-01-31 00:00:00.000,11,2020,1,11,1,1,223,225,31.00,23.00,22.00,12,4
225,4,2020-02-01 00:00:00.000,2020-02-29 00:00:00.000,11,2020,2,12,1,1,224,291,29.00,20.00,20.00,12,4
226,4,2017-10-01 00:00:00.000,2017-10-31 00:00:00.000,9,2017,10,1,1,1,0,227,31.00,22.00,22.00,5,4
227,4,2017-11-01 00:00:00.000,2017-11-30 00:00:00.000,9,2017,11,2,1,1,226,228,30.00,22.00,22.00,5,4
228,4,2017-12-01 00:00:00.000,2017-12-31 00:00:00.000,9,2017,12,3,1,1,227,229,31.00,21.00,19.00,5,4
229,4,2018-01-01 00:00:00.000,2018-01-31 00:00:00.000,9,2018,1,4,1,1,228,230,31.00,23.00,22.00,5,4
230,4,2018-02-01 00:00:00.000,2018-02-28 00:00:00.000,9,2018,2,5,1,1,229,202,28.00,20.00,20.00,5,4
231,5,2017-10-01 00:00:00.000,2017-10-31 00:00:00.000,9,2017,10,1,1,1,0,232,31.00,22.00,22.00,5,4
